id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
10158243820242115,The Straits Times,0,3,0,0,0,0,0,0,3,0,"""While challenges in protecting young people online impact the entire industry, we've led the industry in combating bullying,"" claimed a spokesman for Instagramâ€™s parent company Meta.",2021-11-19T16:15:19,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQF550wtMsUgpuRx&w=540&h=282&url=https%3A%2F%2Fwww.straitstimes.com%2Fs3%2Ffiles%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fmd_instagram_191121.jpg%3Fitok%3DkB_vmsyx&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQFoTiPuh_wZpVSX,https://www.facebook.com/TheStraitsTimes/posts/10158243820242115?__xts__%5B0%5D=68.ARDBHlx9ZhXS52pxdKTCdzQSujjnEEyeUH2gzJozE-Va0bC4khr5nsQ4SSbqUSX89LgIgpAILjBJ0Y7y99Rkku0vNGWIsJIeugR1VMrhkIlQAF0yEDBWQ1Qo-uk8_lWhyrInGxaUin-KZdKRHN7z2oMgh-y2ej4W5XURJcLSYExx6VoJ51Tv8SRbpxez0Rd-S2wPj9zq7rdrtBoBqaUuF-qzSbTd6pOGA8RWfE6eusyhf4XqGUeIMb_cAHcsiH4RmDllfNxyIRvPD5a-z5svOOUNecevHIS8WiMMyof472rtr-4xOMyN&__tn__=-R
10158243796872115,The Straits Times,0,21,0,0,0,0,0,0,21,12,"Covid-19 boosters were previously available to the immune-compromised, over 65s, people at high risk of severe disease and people in high-risk occupations.",2021-11-19T15:55:07,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQGVsVSj6LbJh0sd&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fyq-usbooster-19112021.jpg%3Fitok%3DeJhdjGS9&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQFVuzdpMBO8V0lg,https://www.facebook.com/TheStraitsTimes/posts/10158243796872115?__xts__%5B0%5D=68.ARBdmtj4Fek1fzbTMEkn4RJHnbwYSMe-m6tPDpUBtgHw5tE3RU1NZBu1Y0WCQTmpULr4Xm_-B7BTqI_dcpGf2Sav-TjS_oyIS0exKQX87r1RN64rt63a8P3T9b3NDbAo0K60qVfd_zegRaX21fjGFkYMDeaQz5qp9RlnE5TsrXbCghRc59fkC4kGyROyC-qOXgDIqDg5T9tmdNCE3xLW-e4TVL4yTq8fTGYmb2YpkYjLO8vyHOJsfguEr9W2vv5hrkJGUg5pzEnhRKg0tNjgEiFB9WjTdaNdfe4SbEGSBgJ5WVXM_rD7&__tn__=-R
10158243768872115,The Straits Times,0,37,0,20,0,0,0,23,80,9,"7 Dutch tourists tested positive for Covid-19 and were ordered to remain in quarantine in a holiday home, but went on the run instead.",2021-11-19T15:35:02,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQFZFqoA7ZQ__Fss&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fyq-spaincov2-19112021.jpg%3Fitok%3Dhlq_HlV_&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQEW6N0NHv-mgMxt,https://www.facebook.com/TheStraitsTimes/posts/10158243768872115?__xts__%5B0%5D=68.ARD8OCIyKbp9uBDo0ebiq1rSK_R9Bn0R349K9COIm1bMbMLy9w0OpnMomO6IqQfyljz8UHxlOy-TRVAamiE3y9aPZDLfu0YvFk7JK41fJ5kpFRR1OFn1oCHUdwbCtwX4X5IU991q58ka3OoySp9HRhJOpq7f_ctfp16rBRFLtr-uX9nO90sBjnAiK2mMqGlrNH54QUCFD_dxNBg5ybSHhgFA7xaN3HMwExhYy4VbVs0ARtLoW4XoxqQzoVDJ0peerlluSNH9OymaP2bxQfj0D1ZlK6G4z3_PuaHDcJD2pyzWzf2ZqsTU&__tn__=-R
10158243733927115,The Straits Times,0,20,0,0,0,0,0,2,22,0,Consumers can be more assured of the interior designers' credibility under the new scheme.,2021-11-19T15:15:07,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQEc7ZC7hx_kDbyN&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fhzdesign191121.jpg%3Fitok%3D0bWmWvkA&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQFzzPydCQhR1BKF,https://www.facebook.com/TheStraitsTimes/posts/10158243733927115?__xts__%5B0%5D=68.ARBfvvT9odli4dvpilewOLYY-7zo9yMhab0aF_eObsSZKlPmHEgmJ-R7Y6YbRfqJJWToAT9_PANFG7ugnsf3a9fKBJqXD1J2tW1uYhFIvtNMIrhgB6XzAaT6l38clVk7VSqezqvbJ3vrdhOy3TmDqRxl7-j2qxQJbv0aEx5JwoMQ55IpiFCb7YV9EpyR2Trp_qatTtJucrRuI8CJSy79AboitvRFzCTORI2s71nnY9i5aZUeFyxwCAE-icxy8vpDa8cjcfU_Nn3ndiuNPMzcoo7kyszVpWo9fCR2hsu7-kAvjmF4BJeP&__tn__=-R
10158243713757115,The Straits Times,0,24,0,0,0,0,0,0,24,4,"The 6 facilities that have been approved cater to team sports such as futsal, floorball and badminton. SportSG is working with more applicants.",2021-11-19T14:55:04,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQHP7l-d8bre0ewz&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fhzcage191121.jpg%3Fitok%3DX4Zm7mx7&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQEqY0hsp80T882M,https://www.facebook.com/TheStraitsTimes/posts/10158243713757115?__xts__%5B0%5D=68.ARDGT4yc-HLWY-CfHruf_Dv1aO_0WPDeSWlHfhoc90AL1EfwiCY0UxQD8CFbPr8onf1MisH-cHWODTK1D-ysCUe1E_PfaOmC2aJoZzKZPwxeSGU9HjKUpSeaC0XOx7PRXoFEVwbqp44CcFYvS2XKIyA4QQjq4sJv2Epqnb_sjeIQqEypFe1mlK9Reurw3k9zk8QyOKDWVzKWEMP3X-fJ63EdGnJ3hhQptmM1gS55iAZC3-DNhp0WJuVdcBR9LSDW3BEOAKbS7ACulZCaEg9KKVeyPPUaQKSutO1ZHzKGBQpCiHIeOwAr&__tn__=-R
10158243695432115,The Straits Times,0,332,0,0,0,39,0,0,371,113,This is the 7th day in a row that the weekly infection growth rate is below 1.,2021-11-19T14:40:27,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQGy4NKWt1pKA_KY&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fhzmoh191121.jpg%3Fitok%3DYRp-2B9J&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQGONYYwWaNIm98I,https://www.facebook.com/TheStraitsTimes/posts/10158243695432115?__xts__%5B0%5D=68.ARAPo7txjkZV5gBBT1PMhuk0U7Ut8O8bZvgXWpBK_CpzpOKcM9qVA47U3LUPdAh8jxN5uNlLCzbUxZ7vMQmQsu3SdMC_v1sFCG7BoLyUOybQke0nDyklklf27mTkaQZjJh4iTiwSozTMgpkWErwG0eza70ZicM3g-xnvHFraso6-bgeC3ZePw7Bzw1jv6H6QjioPlGeGvbSzcsO6kE1Ln5FgOkyhX8dzn2Pzi6j90sPODSE9_JLwH3sLPvxJAu8kSv_KvM2oej3IOmSdHzMvmyqsv6dE73nvTV9pyRG6eoVmOKncK98K&__tn__=-R
10158243684467115,The Straits Times,0,28,0,0,0,0,0,12,40,11,"The Malaysian government has said billions more remain unaccounted for, and there are ongoing efforts to recover more in places including Switzerland, Kuwait, Mauritius, Cyprus and Hong Kong.",2021-11-19T14:30:11,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQEqS6uwaXEprmpE&w=540&h=282&url=http%3A%2F%2Fs3.amazonaws.com%2Fphotos.sproutsocial.com%2F2021-11-19%2Fe7d78291-a428-4e53-966e-d07d88b862ef%2Fe459b992-0634-426d-8cee-6d428d0e75cd&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQFHNPtWV6rUPuQ0,https://www.facebook.com/TheStraitsTimes/posts/10158243684467115?__xts__%5B0%5D=68.ARDxooVat02yHstNzNHdI2DcD1FYE26rWlZSAh9s9EV7dNj-Jn1DZW5_Eb_kahoZ-lDgQ8JMsi0bFLVEiR3xRu2aoMWZEW3btpMuHOpfTnmN5XqfjC3jdBmzKebT6l6QeH6YYVoQfyLNT4LmD1w_HKuah_DfesHynWlJS_Zctrg7wVFp92ydetv-zJvxqOMRPOP68dY4x0y9G3NRvt015k_JvO0Btpm6gB1YFHP_QosSorFBGiKQShiIIw6_8Da_ldEKTe3kOc9EU5U3x5cW2nvJX1pHSYKOv68McyUKLKD-ssRiM2t3&__tn__=-R
10158243660802115,The Straits Times,0,76,0,0,0,0,0,0,76,20,"Observers expect that the reopening is likely available to just long-term pass holders at the start, with time needed to smooth out potential operational issues.",2021-11-19T14:06:01,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQF7I6hTqzW_Y-84&w=540&h=282&url=https%3A%2F%2Fwww.straitstimes.com%2Fs3%2Ffiles%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fhzjohor191121.jpg%3Fitok%3DJBm6mPDH&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQF-22XMBBI2L_ic,https://www.facebook.com/TheStraitsTimes/posts/10158243660802115?__xts__%5B0%5D=68.ARBit6ij3eGBLldk88DqOhWNS-maoUNBqQC2Kh5VXIV82TqvRHkRNwBu0w4HHuwOKylJtPNahQudk8STVBwVACe2jI9qCjtYYLrszmthE-bGAec9_jAuLnnbg2_pAW9MF2XtaMGjuK7NFeqIveJOKPbLJPs1m3WWyE3J23QCx9cPl1tpziCQyZSnN4oL6sR-N5mnFnWD5U9xUThFR7ZCmc2181EJu-NE2XuklbR3DRy7NFvTRAxNvly74PPLw8ifWdIXVy2yWUwlUd-XL3lpYY61i5M0X7l2ra9nmqpHU6La2jMU-bRg&__tn__=-R
10158243644177115,The Straits Times,0,50,0,7,0,0,13,0,70,20,"A member of a local political party offered $1,800 to anyone who physically attacks main actor Suriya, who is a major star in Tamil cinema.",2021-11-19T13:50:02,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQGfsndX4L52tDBt&w=540&h=282&url=http%3A%2F%2Fs3.amazonaws.com%2Fphotos.sproutsocial.com%2F2021-11-19%2Fe7d78291-a428-4e53-966e-d07d88b862ef%2F3ac6d858-84e9-4e31-ad6c-a42890b24117&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQExEGHQb0IiZx2l,https://www.facebook.com/TheStraitsTimes/posts/10158243644177115?__xts__%5B0%5D=68.ARDPRXKnF4j8OwhLc4VJSzXMkgY_7vRyvnat0w9x7BfHnMmu-HYOxWtzYoZ6fpnUWUoYyvHXs3gFUYXH19tULIrFnukjsbTFhJDTOOJMgz47Z1WbHsGC_I_-gXmIBnzRPV9IqYjtNLSPSUlMbmEAALP1WT59BjcQX4dJYD3iaxt3gUvoG57EBa3W1dky_EqcDtW4VNxr8VfTyU0qj3i4uu6lpxHBBWOXCdjnaGzByWeTLo2Vy3Kx8M-qh9mbt_68tg8a9dGV4Rfycl9NE9Zy5jgEYyRiNp-awMASX2qVawT3z29AG7dL&__tn__=-R
10158243625077115,The Straits Times,0,558,0,0,0,0,0,0,558,163,"""I actually think Singapore can experiment with letting up to 5 fully vaccinated people to socialise and dine out, and not just restrict these privileges to people from the same household,"" said Prof Teo Yik Ying of NUS.",2021-11-19T13:30:06,,https://external-sin6-4.xx.fbcdn.net/safe_image.php?d=AQE72Q0FAX5Yp9gg&w=540&h=282&url=https%3A%2F%2Fstatic.straitstimes.com.sg%2Fs3fs-public%2Fstyles%2Fx_large%2Fpublic%2Farticles%2F2021%2F11%2F19%2Fyq-icusingapore-19112021.jpg%3Fitok%3DytULHUtn&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6f10c&_nc_sid=06c271&ccb=3-5&_nc_hash=AQFurL_tcSI94YQk,https://www.facebook.com/TheStraitsTimes/posts/10158243625077115?__xts__%5B0%5D=68.ARBUELgYx8c8qo1Vsr-isxhxeftnIj53CBLq4SRAhPwdpKhe1GYLnDMYgslHc4ELu_YGtx2drD_5PAyakg-VKKMaZXEW7H3DHXNl3RRIwFgL0sW3RqaMMW4280NRBQg-HIgdIHHRFeOKUEqvLIynJDe94YN5YnU04Kgf7yg-DEAIIhh7raVRDT3bXnfVUSO1Xid9E4iXn8XYxJeZ8c4FEr0n6MA08NYz7SP5bW_YXTOS4Lfs40X0hYL5GrCwNUSg1MYXdwvH4GW8dC47raTmQeIQGTIf5Y3at8ElgV2juoMO1asKsdLq&__tn__=-R
